"year","month","week","accidents","fatalities","total_gdp","gdp_per_capita","unemployment","population","vehicles","inflation_rate","quarter","season","is_summer","is_winter","is_holiday","AccidentGrowthRate","FatalityGrowthRate","FatalityRate","AccidentChangeRate","FatalityChangeRate","AccidentsPerCapita","FatalitiesPerCapita","AccidentsPerVehicle","economic_crisis","covid","new_highways","speed_limits","seat_belt","helmet","alcohol","phone","licensing","airbags","abs","kid_seat","fines","pedestrians","kteo","point_system"
1996,"10",1,342,22,100.664,9.489,426.8,10608821,3797234,8.2,4,"Autumn",0,0,0,1.55223880597015,0.294117647058824,0.064327485380117,1.55223880597015,0.294117647058824,3.22373240155527e-05,2.07374598930456e-06,9.00655582458179e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"10",2,483,39,100.664,9.489,426.8,10608821,3797234,8.2,4,"Autumn",0,0,0,0.412280701754386,0.772727272727273,0.0807453416149068,0.412280701754386,0.772727272727273,4.55281505833683e-05,3.67618607194899e-06,0.000127197849803304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"10",3,476,41,100.664,9.489,426.8,10608821,3797234,8.2,4,"Autumn",0,0,0,-0.0144927536231884,0.0512820512820513,0.0861344537815126,-0.0144927536231884,0.0512820512820513,4.48683223140441e-05,3.86470843461305e-06,0.000125354402704706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"10",4,481,49,100.664,9.489,426.8,10608821,3797234,8.2,4,"Autumn",0,0,0,0.0105042016806723,0.195121951219512,0.101871101871102,0.0105042016806723,0.195121951219512,4.53396282207043e-05,4.61879788526925e-06,0.000126671150632276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"10",5,342,38,100.664,9.489,426.8,10608821,3797234,8.2,4,"Autumn",0,0,0,-0.288981288981289,-0.224489795918367,0.111111111111111,-0.288981288981289,-0.224489795918367,3.22373240155527e-05,3.58192489061697e-06,9.00655582458179e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"11",1,131,5,100.664,9.489,426.8,10608821,3797234,8.2,4,"Autumn",0,0,0,-0.616959064327485,-0.868421052631579,0.0381679389312977,-0.616959064327485,-0.868421052631579,1.23482147544953e-05,4.71305906660127e-07,3.44987957023454e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"11",2,455,44,100.664,9.489,426.8,10608821,3797234,8.2,4,"Autumn",0,0,0,2.47328244274809,7.8,0.0967032967032967,2.47328244274809,7.8,4.28888375060716e-05,4.14749197860912e-06,0.00011982406140891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"11",3,445,47,100.664,9.489,426.8,10608821,3797234,8.2,4,"Autumn",0,0,0,-0.021978021978022,0.0681818181818182,0.10561797752809,-0.021978021978022,0.0681818181818182,4.19462256927513e-05,4.4302755226052e-06,0.000117190565553769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"11",4,449,34,100.664,9.489,426.8,10608821,3797234,8.2,4,"Autumn",0,0,0,0.00898876404494382,-0.276595744680851,0.0757238307349666,0.00898876404494382,-0.276595744680851,4.23232704180794e-05,3.20488016528887e-06,0.000118243963895825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"11",5,450,41,100.664,9.489,426.8,10608821,3797234,8.2,4,"Autumn",0,0,0,0.0022271714922049,0.205882352941176,0.0911111111111111,0.0022271714922049,0.205882352941176,4.24175315994115e-05,3.86470843461305e-06,0.000118507313481339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
